time,hvac_reaAhu_PPumHea_y
900.0,0.0
930.0,0.0
960.0,0.0
990.0,0.0
1020.0,0.0
1050.0,0.0
1080.0,0.0
1110.0,0.0
1140.0,0.0
1170.0,0.0
1200.0,0.0
1230.0,0.0
1260.0,0.0
1290.0,0.0
1320.0,0.0
1350.0,0.0
1380.0,0.0
1410.0,0.0
1440.0,0.0
1470.0,0.0
1500.0,0.0
1530.0,0.0
1560.0,0.0
1590.0,0.0
1620.0,0.0
1650.0,0.0
1680.0,0.0
1710.0,0.0
1740.0,0.0
1770.0,0.0
1800.0,0.0
1830.0,0.0
1860.0,0.0
1890.0,0.0
1920.0,0.0
1950.0,0.0
1980.0,0.0
2010.0,0.0
2040.0,0.0
2070.0,0.0
2100.0,0.0
2130.0,0.0
2160.0,0.0
2190.0,0.0
2220.0,0.0
2250.0,0.0
2280.0,0.0
2310.0,0.0
2340.0,0.0
2370.0,0.0
2400.0,0.0
2430.0,0.0
2460.0,0.0
2490.0,0.0
2520.0,0.0
2550.0,0.0
2580.0,0.0
2610.0,0.0
2640.0,0.0
2670.0,0.0
2700.0,0.0
